min_trend_strength,pullback_atr_multiple,stop_atr_multiple,total_trades,long_trades,short_trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,total_roi,max_drawdown_pct,sharpe_ratio,initial_balance,final_balance,regime_metrics
0.0035,0.8,2.2,271,132,139,0.25461254612546125,69.42246840052955,-42.72421754287128,0.5550391980836162,-3840.14162402346,-38.401416240234596,38.401416240234546,-7.953185398421301,10000.0,6159.858375976545,"{'bear_trend': {'trades': 139, 'win_rate': 0.2517985611510791, 'profit_factor': 0.5789991600540748, 'total_pnl': -2044.623343978451, 'avg_hold_bars': 12.805755395683454}, 'bull_trend': {'trades': 132, 'win_rate': 0.25757575757575757, 'profit_factor': 0.5242039476153737, 'total_pnl': -1795.5182800450089, 'avg_hold_bars': 10.553030303030303}}"
0.0035,0.8,1.8,273,133,140,0.2490842490842491,70.54832504306374,-42.066799320748785,0.5562913271725496,-3826.4077578251677,-38.26407757825167,38.26407757825177,-8.185141007212868,10000.0,6173.592242174823,"{'bear_trend': {'trades': 140, 'win_rate': 0.25, 'profit_factor': 0.5923730016999531, 'total_pnl': -1959.3447141266308, 'avg_hold_bars': 12.342857142857143}, 'bull_trend': {'trades': 133, 'win_rate': 0.24812030075187969, 'profit_factor': 0.5108538453489346, 'total_pnl': -1867.0630436985368, 'avg_hold_bars': 10.142857142857142}}"
0.0035,0.6,2.2,246,121,125,0.22764227642276422,76.71501350952056,-42.42659276132456,0.5329379370871918,-3765.0118681185136,-37.650118681185134,37.65011868118514,-8.287774579995007,10000.0,6234.988131881486,"{'bear_trend': {'trades': 125, 'win_rate': 0.232, 'profit_factor': 0.5805281983654517, 'total_pnl': -1865.2437486418385, 'avg_hold_bars': 12.544}, 'bull_trend': {'trades': 121, 'win_rate': 0.2231404958677686, 'profit_factor': 0.4743896453956044, 'total_pnl': -1899.7681194766753, 'avg_hold_bars': 9.917355371900827}}"
0.0035,0.6,1.8,247,121,126,0.22672064777327935,76.66977415390286,-42.262097619849776,0.5318973111370155,-3778.5532927727486,-37.78553292772748,37.78553292772749,-8.499705496672872,10000.0,6221.446707227251,"{'bear_trend': {'trades': 126, 'win_rate': 0.23015873015873015, 'profit_factor': 0.5728684607435274, 'total_pnl': -1920.1324615258843, 'avg_hold_bars': 11.936507936507937}, 'bull_trend': {'trades': 121, 'win_rate': 0.2231404958677686, 'profit_factor': 0.4804015500868965, 'total_pnl': -1858.420831246864, 'avg_hold_bars': 9.454545454545455}}"
0.0035,0.4,2.2,209,103,106,0.22488038277511962,73.51781550362118,-44.70344311737817,0.47712751596257913,-3786.620456345069,-37.86620456345069,37.866204563450744,-9.024598414343435,10000.0,6213.379543654925,"{'bear_trend': {'trades': 106, 'win_rate': 0.2169811320754717, 'profit_factor': 0.4833964906912531, 'total_pnl': -2135.331864817215, 'avg_hold_bars': 12.849056603773585}, 'bull_trend': {'trades': 103, 'win_rate': 0.23300970873786409, 'profit_factor': 0.46879173311076316, 'total_pnl': -1651.2885915278546, 'avg_hold_bars': 10.20388349514563}}"
0.0035,0.4,1.8,210,103,107,0.22380952380952382,73.26147375488395,-44.21008695010178,0.47782023254838313,-3762.954906387046,-37.629549063870456,37.6787857701081,-9.175603663979196,10000.0,6237.045093612958,"{'bear_trend': {'trades': 107, 'win_rate': 0.21495327102803738, 'profit_factor': 0.48256563278617554, 'total_pnl': -2129.327370522823, 'avg_hold_bars': 11.962616822429906}, 'bull_trend': {'trades': 103, 'win_rate': 0.23300970873786409, 'profit_factor': 0.47150266682358494, 'total_pnl': -1633.6275358642229, 'avg_hold_bars': 9.74757281553398}}"
0.0035,0.6,1.5,252,124,128,0.21428571428571427,77.89554048917246,-42.14090992851552,0.5041238632783649,-4137.540979430761,-41.37540979430761,41.3754097943076,-9.424668589828498,10000.0,5862.45902056924,"{'bear_trend': {'trades': 128, 'win_rate': 0.21875, 'profit_factor': 0.5346489494070465, 'total_pnl': -2241.1901149498717, 'avg_hold_bars': 10.8515625}, 'bull_trend': {'trades': 124, 'win_rate': 0.20967741935483872, 'profit_factor': 0.46245090423082824, 'total_pnl': -1896.350864480889, 'avg_hold_bars': 8.814516129032258}}"
0.0035,0.8,1.5,281,136,145,0.2313167259786477,70.2292240713612,-41.478858172497716,0.5095076193477842,-4394.533800621029,-43.945338006210285,43.94533800621029,-9.718520073586872,10000.0,5605.4661993789705,"{'bear_trend': {'trades': 145, 'win_rate': 0.22758620689655173, 'profit_factor': 0.5319862081410717, 'total_pnl': -2451.4863549901147, 'avg_hold_bars': 11.110344827586207}, 'bull_trend': {'trades': 136, 'win_rate': 0.23529411764705882, 'profit_factor': 0.47786757136701097, 'total_pnl': -1943.0474456309144, 'avg_hold_bars': 9.566176470588236}}"
0.0035,0.4,1.5,213,105,108,0.215962441314554,71.51820071807292,-43.44271362833088,0.4534620999605643,-3965.095942899903,-39.65095942899903,39.755112206719964,-9.855005252549802,10000.0,6034.904057100096,"{'bear_trend': {'trades': 108, 'win_rate': 0.2037037037037037, 'profit_factor': 0.4414776951344295, 'total_pnl': -2396.3070890733725, 'avg_hold_bars': 11.027777777777779}, 'bull_trend': {'trades': 105, 'win_rate': 0.22857142857142856, 'profit_factor': 0.4708068536828287, 'total_pnl': -1568.7888538265306, 'avg_hold_bars': 9.323809523809524}}"
0.0025,0.8,2.2,390,183,207,0.26666666666666666,60.02666864351394,-39.651001798044554,0.5505000760865725,-5097.41297531529,-50.974129753152894,51.28980491694419,-10.468250477758591,10000.0,4902.587024684709,"{'bear_trend': {'trades': 207, 'win_rate': 0.24154589371980675, 'profit_factor': 0.5350978922232861, 'total_pnl': -3071.2135782628284, 'avg_hold_bars': 11.63768115942029}, 'bull_trend': {'trades': 183, 'win_rate': 0.29508196721311475, 'profit_factor': 0.5719931883194134, 'total_pnl': -2026.199397052462, 'avg_hold_bars': 10.836065573770492}}"
0.0025,0.4,2.2,293,136,157,0.24914675767918087,60.543513688483806,-40.71085247581741,0.4934664201622946,-4536.71104542051,-45.367110454205104,45.490498761825634,-10.469074792034146,10000.0,5463.288954579488,"{'bear_trend': {'trades': 157, 'win_rate': 0.2229299363057325, 'profit_factor': 0.47343990861973717, 'total_pnl': -2804.2204700539755, 'avg_hold_bars': 12.26751592356688}, 'bull_trend': {'trades': 136, 'win_rate': 0.27941176470588236, 'profit_factor': 0.5228403689599953, 'total_pnl': -1732.4905753665344, 'avg_hold_bars': 11.051470588235293}}"
0.0025,0.6,2.2,353,167,186,0.24929178470254956,62.898199176376465,-39.20770612943661,0.5327256098967609,-4855.000596779573,-48.550005967795734,48.665853409837624,-10.47725955006913,10000.0,5144.99940322043,"{'bear_trend': {'trades': 186, 'win_rate': 0.22043010752688172, 'profit_factor': 0.5132667723567429, 'total_pnl': -2913.8329492207395, 'avg_hold_bars': 11.591397849462366}, 'bull_trend': {'trades': 167, 'win_rate': 0.281437125748503, 'profit_factor': 0.5591794850768514, 'total_pnl': -1941.1676475588338, 'avg_hold_bars': 10.089820359281438}}"
0.0025,0.8,1.8,394,185,209,0.2614213197969543,60.532901302746474,-38.7867659630776,0.5523980742752982,-5052.060061072695,-50.52060061072695,50.83919602632805,-10.622917405459912,10000.0,4947.939938927312,"{'bear_trend': {'trades': 209, 'win_rate': 0.23923444976076555, 'profit_factor': 0.5406962669896624, 'total_pnl': -3004.1539544636566, 'avg_hold_bars': 11.258373205741627}, 'bull_trend': {'trades': 185, 'win_rate': 0.2864864864864865, 'profit_factor': 0.5685238961790176, 'total_pnl': -2047.9061066090383, 'avg_hold_bars': 10.421621621621622}}"
0.0025,0.6,1.8,356,167,189,0.2443820224719101,62.224476374445985,-38.53495456362008,0.5222438952705457,-4952.373333037001,-49.523733330370014,49.63738827800404,-10.996090754928673,10000.0,5047.626666963002,"{'bear_trend': {'trades': 189, 'win_rate': 0.21693121693121692, 'profit_factor': 0.49897540938448737, 'total_pnl': -3039.112371541248, 'avg_hold_bars': 11.058201058201059}, 'bull_trend': {'trades': 167, 'win_rate': 0.2754491017964072, 'profit_factor': 0.5550667599795985, 'total_pnl': -1913.2609614957528, 'avg_hold_bars': 9.7125748502994}}"
0.0025,0.4,1.8,295,136,159,0.2440677966101695,59.764353404152644,-40.117412676702244,0.48099099159475284,-4643.149581805609,-46.43149581805609,46.59457183859196,-11.091073923989093,10000.0,5356.850418194385,"{'bear_trend': {'trades': 159, 'win_rate': 0.22012578616352202, 'profit_factor': 0.4707508341069363, 'total_pnl': -2787.6795936470417, 'avg_hold_bars': 11.584905660377359}, 'bull_trend': {'trades': 136, 'win_rate': 0.27205882352941174, 'profit_factor': 0.4956520602210977, 'total_pnl': -1855.469988158567, 'avg_hold_bars': 10.507352941176471}}"
0.0025,0.8,1.5,407,189,218,0.24815724815724816,59.455991778826466,-37.571201518269866,0.5223246131749205,-5491.732494929106,-54.91732494929106,55.20761007343322,-11.988657621359046,10000.0,4508.26750507089,"{'bear_trend': {'trades': 218, 'win_rate': 0.22477064220183487, 'profit_factor': 0.5044180772457514, 'total_pnl': -3446.947757041908, 'avg_hold_bars': 10.197247706422019}, 'bull_trend': {'trades': 189, 'win_rate': 0.2751322751322751, 'profit_factor': 0.5497490588271504, 'total_pnl': -2044.7847378871982, 'avg_hold_bars': 9.878306878306878}}"
0.0025,0.6,1.5,365,170,195,0.23013698630136986,62.32785933387525,-37.47515353777886,0.4971778323150211,-5294.977960070337,-52.94977960070337,53.055720287059096,-12.106486306097969,10000.0,4705.022039929659,"{'bear_trend': {'trades': 195, 'win_rate': 0.20512820512820512, 'profit_factor': 0.47353572363732377, 'total_pnl': -3348.14320301231, 'avg_hold_bars': 10.102564102564102}, 'bull_trend': {'trades': 170, 'win_rate': 0.25882352941176473, 'profit_factor': 0.5332272096445669, 'total_pnl': -1946.8347570580265, 'avg_hold_bars': 9.141176470588235}}"
0.0025,0.4,1.5,301,139,162,0.23588039867109634,57.192173777629,-39.17836771963435,0.4506307028886532,-4950.380237304242,-49.50380237304242,49.70526988749818,-12.177344238550079,10000.0,5049.619762695752,"{'bear_trend': {'trades': 162, 'win_rate': 0.20987654320987653, 'profit_factor': 0.42843116701439776, 'total_pnl': -3134.2126873274556, 'avg_hold_bars': 10.524691358024691}, 'bull_trend': {'trades': 139, 'win_rate': 0.26618705035971224, 'profit_factor': 0.48514007051332153, 'total_pnl': -1816.1675499767866, 'avg_hold_bars': 10.02158273381295}}"
0.0015,0.4,2.2,424,191,233,0.2429245283018868,49.53895315059474,-34.864166106965826,0.4559316436062385,-6088.88514582477,-60.88885145824769,60.888851458247615,-14.363911350879993,10000.0,3911.114854175238,"{'bear_trend': {'trades': 233, 'win_rate': 0.2145922746781116, 'profit_factor': 0.43459487011567677, 'total_pnl': -3880.0587938751128, 'avg_hold_bars': 10.811158798283262}, 'bull_trend': {'trades': 191, 'win_rate': 0.2774869109947644, 'profit_factor': 0.4897555689623227, 'total_pnl': -2208.8263519496572, 'avg_hold_bars': 10.549738219895287}}"
0.0015,0.4,1.8,427,191,236,0.23653395784543327,48.97965109471486,-34.04666731381891,0.4457022779874787,-6152.268783738765,-61.52268783738764,61.55342249761762,-15.074687962885351,10000.0,3847.731216261235,"{'bear_trend': {'trades': 236, 'win_rate': 0.211864406779661, 'profit_factor': 0.43206190512505943, 'total_pnl': -3850.8168285018037, 'avg_hold_bars': 10.258474576271187}, 'bull_trend': {'trades': 191, 'win_rate': 0.2670157068062827, 'profit_factor': 0.46711679209660706, 'total_pnl': -2301.451955236961, 'avg_hold_bars': 9.93717277486911}}"
0.0015,0.8,1.8,544,247,297,0.25183823529411764,46.66837382854466,-32.28807935866604,0.486526627383511,-6747.68108446646,-67.4768108446646,67.59323777051944,-15.669676444795824,10000.0,3252.318915533526,"{'bear_trend': {'trades': 297, 'win_rate': 0.22895622895622897, 'profit_factor': 0.46973632328592835, 'total_pnl': -4186.310444511524, 'avg_hold_bars': 10.16161616161616}, 'bull_trend': {'trades': 247, 'win_rate': 0.2793522267206478, 'profit_factor': 0.5117922694504469, 'total_pnl': -2561.3706399549355, 'avg_hold_bars': 10.05668016194332}}"
0.0015,0.6,2.2,489,224,265,0.24130879345603273,48.19910175329469,-33.430541257615985,0.45856788279831473,-6715.236799686754,-67.15236799686754,67.15236799686751,-15.706009203218299,10000.0,3284.7632003132485,"{'bear_trend': {'trades': 265, 'win_rate': 0.2188679245283019, 'profit_factor': 0.44569909918460243, 'total_pnl': -4150.733814999106, 'avg_hold_bars': 10.992452830188679}, 'bull_trend': {'trades': 224, 'win_rate': 0.26785714285714285, 'profit_factor': 0.47817607587389604, 'total_pnl': -2564.502984687649, 'avg_hold_bars': 10.098214285714286}}"
0.0015,0.8,2.2,538,244,294,0.25650557620817843,45.04762929000532,-32.821964281735056,0.47350706897516237,-6912.212870673288,-69.1221287067329,69.23266570279557,-15.821680828112779,10000.0,3087.7871293267194,"{'bear_trend': {'trades': 294, 'win_rate': 0.23129251700680273, 'profit_factor': 0.45252702705236886, 'total_pnl': -4379.706693970437, 'avg_hold_bars': 10.537414965986395}, 'bull_trend': {'trades': 244, 'win_rate': 0.28688524590163933, 'profit_factor': 0.5062307550029835, 'total_pnl': -2532.5061767028506, 'avg_hold_bars': 10.577868852459016}}"
0.0015,0.4,1.5,432,192,240,0.23148148148148148,47.0912905469794,-33.21872665607107,0.42699179308055857,-6319.488195117655,-63.194881951176555,63.25871540112774,-15.883174299965633,10000.0,3680.5118048823397,"{'bear_trend': {'trades': 240, 'win_rate': 0.20416666666666666, 'profit_factor': 0.40183279041190306, 'total_pnl': -4153.006035250935, 'avg_hold_bars': 9.4875}, 'bull_trend': {'trades': 192, 'win_rate': 0.265625, 'profit_factor': 0.4697444843687708, 'total_pnl': -2166.48215986672, 'avg_hold_bars': 9.34375}}"
0.0015,0.6,1.8,494,227,267,0.23684210526315788,48.61082891063977,-32.76270642208152,0.4604662118794711,-6664.073338579881,-66.64073338579881,66.64073338579884,-15.945348169229762,10000.0,3335.9266614201165,"{'bear_trend': {'trades': 267, 'win_rate': 0.21722846441947566, 'profit_factor': 0.45029883008324484, 'total_pnl': -4071.449287462419, 'avg_hold_bars': 10.52059925093633}, 'bull_trend': {'trades': 227, 'win_rate': 0.2599118942731278, 'profit_factor': 0.4756953615497155, 'total_pnl': -2592.6240511174624, 'avg_hold_bars': 9.480176211453745}}"
0.0015,0.6,1.5,508,233,275,0.2263779527559055,49.073759642101734,-31.740718655117263,0.4524159064629936,-6830.620072619384,-68.30620072619384,68.30620072619385,-16.775787873809094,10000.0,3169.3799273806144,"{'bear_trend': {'trades': 275, 'win_rate': 0.20727272727272728, 'profit_factor': 0.44013763966863384, 'total_pnl': -4292.747633436281, 'avg_hold_bars': 9.625454545454545}, 'bull_trend': {'trades': 233, 'win_rate': 0.24892703862660945, 'profit_factor': 0.4720022529340408, 'total_pnl': -2537.8724391831024, 'avg_hold_bars': 9.008583690987125}}"
0.0015,0.8,1.5,569,259,310,0.24077328646748683,45.56399113780825,-30.874999004074457,0.4680062218649459,-7095.732783880437,-70.95732783880436,71.06129516569175,-17.177369841768595,10000.0,2904.267216119566,"{'bear_trend': {'trades': 310, 'win_rate': 0.2161290322580645, 'profit_factor': 0.4501733348234808, 'total_pnl': -4539.5817809720465, 'avg_hold_bars': 9.361290322580645}, 'bull_trend': {'trades': 259, 'win_rate': 0.2702702702702703, 'profit_factor': 0.496980335693411, 'total_pnl': -2556.15100290839, 'avg_hold_bars': 9.297297297297296}}"
